569331.82,3540557.03,3.68,-2.64,-1.17,14,1,11:53:33.791,04/05/2015,248,0
569331.87,3540557.08,3.68,-2.64,-1.17,14,1,11:53:34.302,04/05/2015,248,0
569331.90,3540557.13,3.68,-2.66,-1.16,14,1,11:53:34.805,04/05/2015,248,0
569331.95,3540557.17,3.69,-2.66,-1.16,14,1,11:53:35.316,04/05/2015,248,0
569331.98,3540557.19,3.69,-2.67,-1.25,14,1,11:53:35.815,04/05/2015,248,0
569331.99,3540557.23,3.69,-2.67,-1.25,14,1,11:53:36.330,04/05/2015,248,0
569332.00,3540557.25,3.68,-2.66,-1.05,14,1,11:53:36.836,04/05/2015,248,0
569332.01,3540557.27,3.69,-2.66,-1.05,14,1,11:53:37.344,04/05/2015,248,0
569332.01,3540557.28,3.69,-2.65,-1.16,14,1,11:53:37.845,04/05/2015,248,0
569332.01,3540557.28,3.68,-2.65,-1.16,14,1,11:53:38.358,04/05/2015,248,0
569332.02,3540557.28,3.69,-2.67,-1.15,14,1,11:53:38.860,04/05/2015,248,0
569332.02,3540557.28,3.68,-2.67,-1.15,14,1,11:53:39.372,04/05/2015,248,0
569332.01,3540557.28,3.68,-2.67,-1.14,14,1,11:53:39.873,04/05/2015,248,0
569332.00,3540557.27,3.69,-2.67,-1.14,14,1,11:53:40.385,04/05/2015,248,0
569331.99,3540557.27,3.69,-2.67,-1.18,14,1,11:53:40.900,04/05/2015,248,0
569331.99,3540557.26,3.70,-2.67,-1.18,14,1,11:53:41.399,04/05/2015,248,0
569331.99,3540557.25,3.70,-2.67,-1.17,14,1,11:53:41.914,04/05/2015,248,0
569331.98,3540557.24,3.71,-2.67,-1.17,14,1,11:53:42.413,04/05/2015,248,0
569331.96,3540557.23,3.71,-2.66,-1.15,14,1,11:53:42.928,04/05/2015,248,0
569331.94,3540557.22,3.71,-2.66,-1.15,14,1,11:53:43.429,04/05/2015,248,0
569331.92,3540557.21,3.71,-2.66,-1.16,14,1,11:53:43.943,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.66,-1.16,14,1,11:53:44.448,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.68,-1.14,14,1,11:53:44.957,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.68,-1.14,14,1,11:53:45.458,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.66,-1.15,14,1,11:53:45.971,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.66,-1.15,14,1,11:53:46.476,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.66,-1.02,14,1,11:53:46.985,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.66,-1.02,14,1,11:53:47.486,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.66,-0.00,14,1,11:53:47.999,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.66,-0.00,14,1,11:53:48.502,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.66,-1.17,14,1,11:53:49.013,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.66,-1.17,14,1,11:53:49.512,04/05/2015,248,0
569331.91,3540557.20,3.70,-2.65,-1.28,14,1,11:53:50.027,04/05/2015,248,0
